Phase,NO,CATEGORY,State,SCHOOL
9,75,SM,PENANG,Smjk Chinese Female of
9,76,SR,PENANG,SK Sungai Dua
9,77,SR,PENANG,SK Share
9,78,SR,PENANG,SK Permatang Tok Mahat
9,79,SR,PENANG,SK Saujana Indah
9,80,SR,SABAH,SK Tilis
9,81,SR,SABAH,"SK Ladang Binuang, Kunak"
9,82,SR,SABAH,SK Mutiara
9,83,SR,SABAH,SK Kilimu
9,84,SR,SABAH,SK Lubok Darat
9,85,SR,SABAH,SK Rimbaan
9,86,SR,SABAH,SK St Monica
9,87,SR,SABAH,"Srk St. Agnes, Likas"
9,88,SR,SABAH,SK St Edmund (M)
9,89,SM,SARAWAK,SMK Tinggi Sarikei
9,90,SR,SARAWAK,SK Kuala Lawas
9,91,SR,SARAWAK,SK Iboi Pelanduk
9,92,SR,SARAWAK,SK Sebat
9,93,SR,SARAWAK,SK Sungai Pinang
9,94,SR,SARAWAK,"SK St. Joseph, Miri"
9,95,SR,SARAWAK,SK (A) Ibn Khaldun
9,96,SR,SARAWAK,"Sjk (C) Methodist (M), Sibu"
9,97,SM,SELANGOR,SMKa Simpang Lima
9,98,SM,SELANGOR,SMK Convent (M) Kajang
9,99,SM,SELANGOR,Samt Sultan Hisamuddin
9,100,SM,SELANGOR,Sam Hulu Langat
9,101,SR,SELANGOR,SK Saujana Utama
9,102,SR,SELANGOR,SK Puncak Alam Dua
9,103,SR,SELANGOR,SK Jalan Empat
9,104,SR,SELANGOR,SK Taman Puteri
9,105,SR,SELANGOR,SK Seri Makmur
9,106,SR,SELANGOR,SK Taman Melawati
9,107,SR,SELANGOR,SK Taman Melawati Dua
9,108,SR,SELANGOR,SK Bukit Rahman Putra
9,109,SR,SELANGOR,SK Kelana Jaya 1
9,110,SR,SELANGOR,SK Raja Muda
9,111,SR,SELANGOR,SK Taman Tun Dr. ISMAIL Jaya
9,112,SR,SELANGOR,SK Usj 20
9,113,SR,SELANGOR,SK Taman Seroja
9,114,SR,SELANGOR,SK Cyberjaya
9,115,SR,SELANGOR,SK Klia
9,116,SR,SELANGOR,SK Kuala Kubu Bharu Dua
9,117,SR,SELANGOR,Sjkc Puay Chai 2
9,118,SR,SELANGOR,Sjkc Tun Tan Cheng Lock
9,119,SM,TERENGGANU,SMKa Wataniah
9,120,SM,TERENGGANU,SMKa Kuala Abang
9,121,SM,TERENGGANU,SMKa Durian Guling
9,122,SR,TERENGGANU,SK Telok Kalong
9,123,SR,TERENGGANU,SK Center Chabang Tiga
9,124,SR,TERENGGANU,SK Tok Jiring
9,125,SR,TERENGGANU,SK Kelulut
9,126,SR,TERENGGANU,SK Seri Paka
9,127,SR,TERENGGANU,SK Tapu
9,128,SR,TERENGGANU,SK Lembah Jaya
9,129,SR,TERENGGANU,SK Sultan Sulaiman Ii
9,130,SM,W / P KUALA LUMPUR,Federal Territory Islamic Religious Council
9,131,SM,W / P PUTRAJAYA,SMK Agama Putrajaya
9,132,SR,W / P PUTRAJAYA,SK Putrajaya Presint 8 (2)
9,133,SR,W / P PUTRAJAYA,SK Putrajaya Presint 16 (2)
9,134,SR,W / P PUTRAJAYA,SK Putrajaya Presint 11 (2)
9,135,SR,W / P PUTRAJAYA,SK Putrajaya Presint 18 (1)
,,,,
,,,,
,,,,
,,,,
